Total owed a prevention or relief duty,2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 ,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired
357.000000 ,1567.000000 ,0.056000 ,30099.000000 ,28734.000000 ,295000.000000 ,0.920000 ,0.010000 ,0.010000 ,0.010000 ,0.154100 ,0.098000 ,0.008400 ,0.308100 ,0.053200 ,0.075600 ,0.170900 ,0.042000 
429.000000 ,187.000000 ,0.140000 ,21351.000000 ,26574.000000 ,190000.000000 ,0.950000 ,0.000000 ,0.020000 ,0.010000 ,0.130500 ,0.083900 ,0.011700 ,0.312400 ,0.058300 ,0.083900 ,0.209800 ,0.044300 
401.000000 ,317.000000 ,0.145000 ,23178.000000 ,24467.000000 ,260000.000000 ,0.940000 ,0.010000 ,0.010000 ,0.000000 ,0.057400 ,0.092300 ,0.007500 ,0.516200 ,0.037400 ,0.069800 ,0.139700 ,0.054900 
328.000000 ,166.000000 ,0.107000 ,24578.000000 ,25505.000000 ,225000.000000 ,0.970000 ,0.010000 ,0.000000 ,0.010000 ,0.170700 ,0.106700 ,0.030500 ,0.414600 ,0.036600 ,0.039600 ,0.115900 ,0.027400 
163.000000 ,490.000000 ,0.096000 ,38276.000000 ,35166.000000 ,195000.000000 ,0.930000 ,0.020000 ,0.020000 ,0.020000 ,0.159500 ,0.073600 ,0.018400 ,0.233100 ,0.042900 ,0.055200 ,0.355800 ,0.049100 
1706.000000 ,1419.000000 ,0.167000 ,25035.000000 ,25895.000000 ,135000.000000 ,0.900000 ,0.010000 ,0.030000 ,0.010000 ,0.114900 ,0.066200 ,0.004700 ,0.569800 ,0.002900 ,0.030500 ,0.140700 ,0.022900 
244.000000 ,985.000000 ,0.102000 ,16392.000000 ,29272.000000 ,190000.000000 ,0.750000 ,0.020000 ,0.020000 ,0.040000 ,0.123000 ,0.106600 ,0.008200 ,0.303300 ,0.016400 ,0.098400 ,0.131100 ,0.024600 
1223.000000 ,3199.000000 ,0.126000 ,28397.000000 ,29321.000000 ,206500.000000 ,0.790000 ,0.070000 ,0.020000 ,0.050000 ,0.111200 ,0.099800 ,0.020400 ,0.251800 ,0.101400 ,0.058100 ,0.237100 ,0.014700 
418.000000 ,3337.000000 ,0.107000 ,15537.000000 ,31639.000000 ,210000.000000 ,0.940000 ,0.020000 ,0.010000 ,0.010000 ,0.114800 ,0.102900 ,0.009600 ,0.325400 ,0.067000 ,0.105300 ,0.181800 ,0.033500 
621.000000 ,1080.000000 ,0.122000 ,20264.000000 ,35105.000000 ,295000.000000 ,0.780000 ,0.100000 ,0.050000 ,0.030000 ,0.165900 ,0.125600 ,0.016100 ,0.392900 ,0.067600 ,0.077300 ,0.107900 ,0.014500 
703.000000 ,569.000000 ,0.184000 ,21155.000000 ,29351.000000 ,177000.000000 ,0.950000 ,0.010000 ,0.010000 ,0.010000 ,0.098200 ,0.069700 ,0.004300 ,0.455200 ,0.018500 ,0.065400 ,0.163600 ,0.037000 
1546.000000 ,6109.000000 ,0.159000 ,23969.000000 ,34561.000000 ,407000.000000 ,0.360000 ,0.280000 ,0.040000 ,0.040000 ,0.107400 ,0.131300 ,0.025200 ,0.289100 ,0.036900 ,0.234200 ,0.115100 ,0.017500 
